job_title,occupation_group,occupation,occupation_group_index,occupation_index
Production planning and control Assistant-Manager,Production,Production Planner,118,448
Sr.Marketing Executive,Marketing,Marketing Officer,88,344
Anesthetist,Physician/Doctor,Anesthetist,110,27
นักผังเมือง,Architecture/Interior,Urban and Land Use Planner,12,575
Leader of IT and comunicate,IT and Computer,IT Manager,74,288
FLEET OFFICER,Transportation Officer,Transportation Officer,146,568
ธุรการวิศวกรรม,Administration,Administrator,2,8
ช่างตัดขนสุนัข,Dog Groomer,Dog Groomer,43,177
ช่างกล้อง,Photographer & Videographer,Film and Video Camera Operator,108,219
Business Process Improvement,Business Developer,Process Improvement Specialist,23,439
Export Sale,Import and Export,Import and Export Manager,75,292
CAD TECHNICIAN,Product Design,CAD Designer,117,79
<font color=red><b>ธนาคารกรุงศรีอยุธยา รับสมัครด่วน!!!</font color></b><br>เจ้าหน้าที่พัฒนาธุรกิจ CSR (ประจำจังหวัดราชบุรี/กาญจนบุรี),Corporate Social Responsibility,Corporate Social Responsibility,34,139
Legal Administrator,Contracts Administrator,Contracts Administrator,33,137
Service Technician - Mechanical,Construction/Building Technician,Service Technician,31,512
Engineering Production Baby Care,Engineering,Product Specialist - Engineer,50,444
ชาวประมง/Fisherman,Fisherman,Fisherman,56,230
เจ้าหน้าที่แพทเทิร์น,Fashion Designer,Pattern Maker,54,406
Sales Repersentative (ด้านงานให้บริการ) - 1 ตำแหน่ง,Sales,Sales,132,495
เจ้าหน้าที่วางแผนพัฒนาธุรกิจก่อสร้าง (โยธา ),Business Developer,Business Developer,23,73
เจ้าหน้าที่ฝ่ายเทคโนโลยี และสารสนเทศ (IT),IT and Computer,ICT,74,284
Geographer,Geoscientist and Geographer,Geographer,67,257
NUTRITIONIST,Nutritionist,Nutritionist,102,381
RESEARCH ASSOCIATE – Healthcare Consulting Services,Clinical Researcher,Clinical Research Associate,29,112
นักศึกษาสหกิจศึกษา,othe,other,153,596
พนักงานสำรองบัตรโดยสารเครื่องบิน / พนักงานขายตั๋วเครื่องบิน,Customer Service,Ticketing Officer,37,558
Maintenance,Technician,Maintenance Technician,141,334
Environmental and Geological Testing Analyst,Environmental Scientist,Environmental/Geological Testing & Analyst,51,203
Field Service Technician,Engineering,Technical Service,50,548
Director (G-9314),Top Level Executive,Director,142,169
Petroleum Engineer (PO01)<br> (2 person),Engineering,Petrochemical Engineer,50,411
เจ้าหน้าที่คลังสินค้าสำเร็จรูป,Warehouse Management,Warehouse Officer,151,585
ผู้ช่วยนักเทคนิคการแพทย์,Medical Technologist,Medical Technologist,93,364
Design Engineer (Samrong Plant),Engineering,Design Engineer,50,166
ผู้ช่วยบรรณาธิการ ฝ่ายการ์ตูนความรู้,Writer and Editor,Assistant Editor,152,40
ผู้รายงานข่าว,Reporter,Reporter,127,479
New Product Development Executive (Cute Press),Research and Development,Research and Development Executive,128,485
พนักงานขับรถส่งสินค้า,Driver,Driver,44,181
พนักงานแปรรูปและบรรจุภัณฑ์,Research and Development,Packaging Development,128,403
Material Planning Supervisor,Material Management,Material Control Officer,89,347
Marine Crew for Heavy Lift Ship<br>(National Capital Reg),Pilot,Pilot,112,423
นักดาราศาสตร์,Astronomer,Astronomer,15,42
ช่างเทคโนโลยีทันตกรรม,Medical Technologist,"Dental Technologist, Technician and Laboratory",93,161
Transport Manager (Working at Bangpakong Branch : Bangna-Trad KM 41),Transportation Officer,Transportation Manager,146,567
เจ้าหน้าที่แรงงานสัมพันธ์และฝึกอบรม,HR,Training and Development Manager,69,565
Senior Legal Counsel,Lawyer,Legal Counsel,82,326
เจ้าหน้าที่ประเมินราคา,Inventory Planning and Management,Cost Estimator,77,141
Voice Engineer,Audio and Video Recording Technician,Sound and Recording Engineer,16,523
หัวหน้าทีมบริหาร,Top Level Executive,Executive Team Leader,142,212
Broadcast Control Digital & Cable fiber optic,Internet and Cable TV Technician,Internet and Cable TV Installing Technician,76,303
ผู้จัดการบริษัท,Business Manager,Business Manager,24,76
พนักงานต้อนรับร้านอาหาร,Customer Service,Host/Hostess,37,280
PED Inspector<br>(Bangkok),Engineering,Inspector,50,297
ตัวแทนกงสุล,Consul,Consul,32,135
เจ้าหน้าทีฝ่ายเร่งรัดหนี้สิน,Finance,Collection Representative,55,117
ครูสอนวิชาฟิสิกส์ (สมุทรสาคร),Teacher,Physics Teacher,140,422
รองผู้ช่วยผู้จัดการ,Administration,Administrator,2,8
RESEARCH ASSOCIATE / ANALYST,Researcher,Researcher,129,487
ผู้อำนวยการฝ่ายลูกค้าสัมพันธ์,Customer Service,Client Relationship,37,109
เจ้าหน้าที่พัฒนาเด็กเล็ก,Teacher,Early Childhood Care & Development Staff,140,182
Urgent! Government Finance Officer,Economist,Government Finance Officer,46,261
Senior Manager,Marketing,Marketing Manager,88,343
Senior Sale Promotion Coordinator,Sales,Sales,132,495
พนักงานบริการ Pest Control (กำจัดแมลง) ประจำ สำนักงานใหญ่ (ลาดพร้าว 128/4),Production,Waste Pick-up and Removal Staff,118,588
 junior social media assistant,Advertising and PR,Media Planner,5,357
Project Manager (Exhibition&Event),Event,Event Manager,53,208
Support and Software Development MGR.,IT and Computer,Programmer / Software Developer,74,453
ผู้จัดการด้านรีเสิร์ช - Research Manager,Advertising and PR,Research Manager,5,482
Buyer/Expediter/Purchasing,Purchasing,Purchasing Executive,125,464
เจ้าหน้าที่อาวุโส ที่ปรึกษาผลิตภัณฑ์ทางการเงิน,Finance,Financial Advisor,55,223
"Transportation Officer, Debit Note",Transportation Officer,Transportation Officer,146,568
ครูภาคอากาศ,Flying Instructor,Flying Instructor,59,237
บุคลากร,Administration,Administrator,2,8
ช่างเครื่องมือแพทย์ (Medical Technology Technician = MTT) หลายอัตรา,Medical Equipment Repair Technician,Medical Equipment Repair Technician,92,360
ผู้สื่อข่าวการเมือง,Reporter,News Reporter,127,379
ธุรการ/ประสานงาน,Administration,Administrator,2,8
นักกฎหมาย,Lawyer,Lawyer,82,322
Market Research (Hotel Business),Marketing,Business Development Officer,88,75
Service Delivery Consultant (Recruitment),HR,Recruiter,69,477
พนักงาน PC ขายพัดลม เตาแก๊ส เครื่องกรอง เครื่องทำน้ำอุ่น โฮมโปรหัวทะเล/ PB,Sales,Product Consultant,132,441
Analyst - คณิตศาสตร์และสถิติ,Mathematics & Statistics,Mathematics & Statistics,90,351
Creative,Creative Art,Creative Art,36,145
ผู้จัดการฝ่ายบริหารงานลูกค้ารายหลัก,Account Executive,Key Account Manager,0,315
ช่างเทคนิค ตรวจแก้ Internet และ โทรศัพทย์พื้นฐาน,Internet and Cable TV Technician,Internet and Cable TV Installing Technician,76,303
เจ้าหน้าที่กำกับการปฏิบัติตามกฎเกณฑ์ (Compliance Officer),Lawyer,Rules Conduct Administrator,82,492
"Website Manager , Media Manager , Advertising Manager , Dev Manager|",IT and Computer,Web Administrator,74,589
Productivity Improvement (PI),Productivity Improvement,Productivity Improvement,120,450
หัวหน้างานฝ่ายขาย (1 อัตรา),Sales,Sales,132,495
Operations Technician,Operation Staff,Operations Technician,103,389
ผู้อำนวยการ,Director General,Director General,41,170
ผู้ช่วยผู้จัดการสาขาด้านการให้คําปรึกษาและการตลาด,Marketing,Branch Manager,88,67
IT Project Admin (Contract 6 Month),IT and Computer,Project Coordinator - IT,74,455
Western Music Teacher,Teacher,Western Music Teacher,140,593
เจ้าหน้าทีฝ่ายเร่งรัดหนี้สิน,Finance,Collection Representative,55,117
วิศวกรธรณี,Engineering,Geological Engineer,50,258
Desktop Publishing Specialist,Advertising,Advertising Specialist,4,12
Ramp Master and Act.Supervisor,Engineering,Flight Engineer,50,234
พนักงานขับรถส่งสินค้า,Driver,Driver,44,181
Risk Management Manager,Finance,Finance Manager,55,221
Sales & Marketing Manager,Marketing,Marketing Manager,88,343
Control and Instrument,Engineering,Instrument Engineer,50,299
Naturapath urgent,Naturapath,Naturapath,99,375
อาจารย์ประจำสาขาวิชาการจัดการ,Lecturer,Professor,83,451
Sales Application Engineer - Solar Cell,Sales,Sales Engineer,132,497
Automation Engineer,Engineering,Automation Engineer,50,48
Assistant Operation Director (ผู้ช่วยผู้อำนวยการฝ่ายปฏิบัติการ),Top Level Executive,Chief Operative Officer,142,103
ช่างพิมพ์งานกระดาษ,Printing Technician,Printing Technician,115,436
Communication Director,Advertising and PR,Communication Director,5,122
cost engineer,Engineering,Cost Engineer,50,140
Sale-ASTRA TECH. [IMPLANT],Sales,Medical Representative,132,361
Investment Consultant,Finance,Investment Consultant,55,308
SYSTEM ARCHITECTURE,IT and Computer,System Architecture,74,538
Permanent Secretary/ปลัด,Permanent Secretary,Permanent Secretary,106,409
นักเรียนฝึก ฝ่ายช่างกล (Engine Cadet),Navigator,Engine Cadet,100,197
Laboratory Technician,Lab Technician,Lab Technician,80,318
SECURITY SUPERVISOR (หลายอัตรา)<br>(สายอาคารสำนักงานและห้องชุดพักอาศัยให้เช่า),Security Guard,Security Supervisor,135,508
Accounts Assistant <br>(Permanent Part Time),Account Executive,Account Executive,0,2
วิศวกรไฟฟ้า,Engineering,Electrical Engineer,50,190
Service Manager (สุราษฎร์ธานี),Customer Service,Customer Service Manager,37,149
ผู้ช่วยผู้จัดการ,Administration,Administrator,2,8
ticket seller,Customer Service,Ticketing Officer,37,558
Graphic Design ประจำเอเชียทีค,Graphic Designer,Graphic Designer,68,263
ช่างตัวเรือน เครื่องประดับ,Jewelry Technician,Jewelry Technician,78,312
Chief Operation Officer (Head Office),Top Level Executive,Chief Operation Officer,142,102
นักทัศนมาตร,Optician,Optometrist,104,392
<font color=red><b>Urgently Required!!!</font color></b><br>Customs Brokerage<br>(เจ้าหน้าที่ออกของ),Logistic Officer,Logistic Officer,85,331
Legal Advisor/Consultant,Lawyer,Legal Counsel,82,326
Chemical Engineer (Chemist),Engineering,Chemical Engineer,50,96
Production Superintendent,Production,Production Manager,118,447
พนักงานขนถ่ายสัมภาระ,Porter,Porter,114,430
Sr. Test Engineer (Teparuk Plant),Engineering,Testing Engineer,50,554
Accounting business Officer Operation of Seafreight,Accounting,Accountant,1,4
เจ้าหน้าที่แผนกรับรถงานซ่อมสีและตัวถัง ( BP Service Advisor ),Administration,Administrator,2,8
WH-Rice Manager,Marketing,Marketing Manager,88,343
เจ้าหน้าที่ประเมินภาษี,Lawyer,Tax Assessor,82,541
Supply Chain Planning and Development Supervisor (Huamak),Warehouse Management,Supplier Management/Vendor Management,151,532
Senior Technical Architect,Architecture/Interior,Architect,12,33
วิศวกรผลิตภัณฑ์: การเกษตรและแสงสว่างชีวภาพ,Engineering,Agricultural Engineer,50,15
"ช่างเขียนแบบ,เครื่องกล,ไฟฟ้า,ก่อสร้าง",Design Drafter,Design Drafter,40,165
ช่างแมคคานิค ,Technician,Mechanic Technician,141,352
ผู้อำนวยการสายงานอพาร์ตเม้นท์และโรงแรม,Top Level Executive,Managing Director,142,338
Central Online เปิดรับสมัคร Content Writer (E-Visualizer) (หลายอัตรา),Writer and Editor,Writer,152,595
ผู้จัดการฝ่ายบริหารสำนักงาน,Top Level Executive,Executive Manager,142,211
ครูสอนคณิตศาสตร์และวิทยาศาสตร์,Teacher,Math Teacher,140,349
Investment Consulting (ที่ปรึกษาการลงทุน),Finance,Investment Consultant,55,308
Laboratory/Pathology Services,Laboratory/Pathology Services,Laboratory/Pathology Services,81,320
พนักงานรักษาความปลอดภัย,Security Guard,Security Guard,135,506
บริการบำบัดการพูด,Medical Therapy/Rehab Services,Speech/Language Pathologist,94,525
ช่างเขียนแบบเครื่องกล,Design Drafter,Design Drafter,40,165
Assistant Chief of Project Procurement and Purchasing,Purchasing,Purchasing Manager,125,465
Service Engineer,Engineering,Service Engineer,50,510
"Senior & Purchasing Officer (Have Experience, Good English & Chinese)",Purchasing,Purchasing Executive,125,464
Network Operation Engineer,Engineering,Network Engineer,50,376
"PR Executive (PR strategist, Media Relation, Content development and writing)",Advertising and PR,PR Executive,5,400
Transport Technology Supervisor,Transportation Officer,Transportation Manager,146,567
Engineer for NGV Monitoring,Engineering,Operation and Maintenance Engineer,50,387
Director New Media (ARIP),Advertising and PR,Media Director,5,356
เจ้าหน้าที่ประสานงานด้านการตลาด,Marketing,Marketing Coordinator,88,341
แพทย์ (หู/คอ/จมูก),Physician/Doctor,Oto-rhino-laryngologist,110,396
ที่ปรึกษาด้านอาหาร,Food Consultant,Food Consultant,61,240
Trader,Finance,Treasurer,55,570
Accounting Staff (Job Code : ACC 1104019),Accounting,Accountant,1,4
Coach (English Tutor)- Part-Time,Teacher,Tutor,140,571
Procurement Officer / Buyer /Purchasing Material Expediter,Purchasing,Purchasing Executive,125,464
Investment Consultant,Finance,Investment Consultant,55,308
Office/Audit Engineer,IT and Computer,IT Auditor,74,286
ผู้อำนวยการด้านรีเสิร์ช,Advertising and PR,Research Director,5,480
ผู้อำนวยการอาวุโสฝ่ายควบคุมโรค,Physician/Doctor,Medical Director,110,359
Fabric designers,Fashion Designer,Textile Designer,54,555
Graphic Designer 3D / 2D,Graphic Designer,Graphic Designer,68,263
"Technical Officer, Power",Technician,Technician,141,550
เจ้าหน้าที่ดูแลฟิล์มและกล้องวีดิโอ,Photographer & Videographer,Film and Video Camera Operator,108,219
Auditor (Medical & Health Services),Medical Therapy/Rehab Services,Audiologist,94,46
เจ้าหน้าที่แผนกรับรถงานซ่อมสีและตัวถัง (BP Service Advisor),Technician,Heavy Equipment Operator,141,277
แพทย์จิตเวช,Physician/Doctor,Psychiatrist,110,460
Document Inbound (SEA&AIR),Import and Export,Import and Export Officer,75,293
เจ้าหน้าที่ฝ่ายสถาปัตยกรรม,Architecture/Interior,Architect,12,33
Electrical Engineer/Physicist,Engineering,Electrical Engineer,50,190
Business Support,Marketing,Business Officer,88,77
INTERIOR,Architecture/Interior,Interior Architecture,12,301
Database & IT specialist,IT and Computer,IT Specialist,74,290
เจ้าหน้าที่ดูแลผลิตภัณฑ์ (Product Specialist),Sales,Sales,132,495
Sales Support,Sales,Sales Support,132,498
Personal Trainer,Trainer,Personal Trainer,144,410
Engineering Superintendent,Engineering,Engineer Manager,50,199
ผู้อำนวยการฝ่ายภาษี,Lawyer,Tax Director,82,543
Senior Sales Executive (Automotive) (60K-65K) (SDG-38743),Sales,Sales,132,495
Mobile Technician Trainer (2 อัตรา),Trainer,Training Officer,144,564
Scientist / นักวิทยาศาสตร์ (ปฏิบัติงานประจำสำนักวิชา,Scientist,Scientist,133,503
พนักงานเช็คสต็อกสินค้าและจัดจำหน่ายสินค้า,Warehouse Management,Store Officer,151,529
Filling & Packing Superintendent-Bangpoo,Operation Staff,Operation Staff,103,386
รองประธาน,Top Level Executive,Vice Chairman of Executive Committee,142,578
Logistics Specialist,Logistic Officer,Logistic Officer,85,331
SalesNo. (Job Reference):SAL0607007,Job Fair,Job Fair,79,313
Mold Die Foreman,Moldmaking/Casting,Moldmaking/Casting,95,372
Head Creative & Production,Creative,Creative Director,35,147
Contract Engineer,Engineering,Engineer,50,198
Artwork Coordinator,Advertising,Artwork Coordinator,4,38
กัปตัน,othe,other,153,596
พยาบาลวิชาชีพ วิสัญญี (เครือพญาไท),Nurse,Nurse,101,380
ผู้อำนวยการ,Top Level Executive,Director,142,169
Product Consultant,Sales,Product Consultant,132,441
ผู้อำนวยการฝ่ายวิเคราะห์โครงการ,IT and Computer,Project Manager - IT,74,457
พนักงานขาย / ซุปเปอร์ไวเซอร์ สาขาเดอะวอล์ก ราชพฤกษ์,Sales,Sales,132,495
เจ้าหน้าที่ประสานงาน BOI,BOI Officer,BOI Coordinator,17,53
พนักงานช่างทำกรอบพระ ด่วน,Technician,Technician,141,550
เลขานุการ ประธานเจ้าหน้าที่ฝ่ายปฏิบัติการ,Secretary,Secretary,134,505
Data Management,Data,Data Management,38,156
Telecommunication Engineer <br>(AVAYA/ Cisco),Engineering,Telecommunication Engineer,50,551
Architect,Architecture/Interior,Architect,12,33
Rice Product Evaluation and Advancement Trialist<br>(1 Position),Research and Development,Research and Development Executive,128,485
Production Engineer,Engineering,Industrial Engineer,50,296
Cleaner,Housekeeping,Cleaning Staff,72,108
เจ้าหน้าที่รัฐสัมพันธุ์,Administration,Administrator,2,8
ช่างประกอบ,Operation Staff,Machine Operator,103,333
senior imc,Advertising and PR,Marketing Communication,5,339
SME Trainee Program,Management Trainee,Management Trainee,87,337
นักภายภาพบำบัด,Medical Therapy/Rehab Services,Physical Therapist,94,419
Restaurant Expeditor - Urgently required,Food Preparation,Expediter,62,213
Quality Engineer,Engineering,Quality Engineer,50,469
สื่อสารองค์กร/Graphic design ,Graphic Designer,Graphic Designer,68,263
Industrial Policies Officer,Marketing,Business Officer,88,77
Land Acquisition Officer,Lawyer,Legal Officer,82,327
Account Executive (AE) (บริษัทในเครือดูแลรายการโทรทัศน์),Account Executive,Account Executive,0,2
Merchandiser Executive (Job Code : PUR1305022),Purchasing,Merchandiser,125,367
เจ้าหน้าทีฝ่ายเร่งรัดหนี้สิน,Finance,Collection Representative,55,117
เนติบัณฑิต,Lawyer,Barrister,82,59
เจ้าหน้าที่ธุรการ BOI,BOI Officer,BOI Administrator,17,51
Project Engineer (Watcharapol Project),Engineering,Project Engineer,50,456
แอดมินตรวจสอบ (Part-Time),Administration,Administrator,2,8
พนักงานทำอาหาร,Food Preparation,Food Preparation,62,241
ครูสอนคณิตศาสตร์และวิทยาศาสตร์,Teacher,Science Teacher,140,502
เลขานุการ CEO,Secretary,Secretary,134,505
IT Localization,Translator,Localization,145,330
ผู้อำนวยการสายงาน ภาษาและสิ่งพิมพ์,Publisher,Publisher,124,463
ผู้อำนวยการบริหารงานลูกค้า,Account Executive,Account Director,0,1
Underwriter,Finance,Underwriter,55,573
Visual & Dimensional Inspector<br>(Rotating or Permanent 3rd shift),Quality Assurance,Quality Control,126,468
Accounts Officers,Accounting,Accountant,1,4
Estimate Engineer,Engineering,Cost Engineer,50,140
ติดตามงานผู้รับเหมา,Engineering,Site Manager,50,517
ผู้ช่วยช่างซ่อมเครื่องจักรหนัก,Technician,Instrument Repair Technician,141,300
พนักงานทดสอบโลหะวิทยาและเคมี ( HMM ),Chemist,Chemical Technologist and Technician,27,97
ธุรการ IPD 2,Administration,Administrator,2,8
สัตวบาลประจำฟาร์มสุกร ปรีชาฟาร์ม จ.ราชบุรี,Agricultural And Natural Resources,Animal Husbandman,6,28
TECHNICAL OFFICERS<br>(Singapore),Technician,Technician,141,550
Air Traffic Controller,Air Traffic Control,Air Traffic Control,7,23
วิศวกรสนาม หน่วยงานดอนเมือง,Engineering,Site Foreman,50,516
Airport Runner - EDI Rater,Data,Data Engineer,38,154
"boxoffice,concession",Finance,"Assessor, Valuator, Appraiser",55,39
เจ้าหน้าที่ควบคุมการออกอากาศMCR,Broadcasting,Master Control Room Officer,20,345
Senior IT Support/Project Manager,IT and Computer,Project Manager - IT,74,457
Software Tester,IT and Computer,Tester,74,553
พนักงานผลิต,Production,Production,118,445
Communication Analyst,Advertising and PR,Communication Analyst,5,121
Production Engineering Section Manager,Production,Production Manager,118,447
Graphic Designer,Graphic Designer,Graphic Designer,68,263
CNC Technician (Milling),Technician,Milling Technician,141,369
Server/System Engineer & Administrator,Engineering,Computer and Systems Engineer,50,129
เจ้าหน้าที่ออกแบบ packaging,Research and Development,Packaging Development,128,403
Software Tester,IT and Computer,Tester,74,553
ช่างซ่อมอุปกรณ์อิเลคทรอนิคส์ / คณะวิศวกรรมศาสตร์หรืออื่นๆที่เกี่ยวข้อง (นักศึกษาฝึกงาน),Electronic Technician,Electronic Technician,49,192
Dancer/แดนเซอร์,Performer/Artist,Dancer,105,152
service Technician ,Construction/Building Technician,Service Technician,31,512
Solar Cells Installing Technician,Electrician,Solar Cells Installing Technician,48,522
SA Programmer,IT and Computer,Programmer / Software Developer,74,453
ครูสอนพิเศษ,Teacher,Tutor,140,571
ผู้จัดการแผนกคลังสินค้า,Warehouse Management,Warehouse Manager,151,584
HR Officer / เจ้าหน้าที่สรรหาว่าจ้าง (1 อัตรา),HR,Recruiter,69,477
Lab Technician,Lab Technician,Lab Technician,80,318
ฝ่ายช่าง และทีมติดตั้ง,Technician,Technician,141,550
Game mathematician (Sr.),Multimedia,Game Mathematician,96,252
Design - Textile,Fashion Designer,Textile Designer,54,555
Pre Commercial Manager,Advertising and PR,Commercial Manager,5,120
Graphic Designer (ปฎิบัติงาน เขตดินแดง กทม.),Graphic Designer,Graphic Designer,68,263
Vice President-Business Strategy,Top Level Executive,Vice President,142,579
Scientific & Technical Affairs Supervisor and Editor,Scientist,Scientist,133,503
Instrument and Control Engineer,Engineering,Process Engineer,50,438
ช่าง 3G,Internet and Cable TV Technician,Internet and Cable TV Installing Technician,76,303
สถาปนิกผังเมือง,Architecture/Interior,Urban Architect,12,574
"ครูสอนภาษาอังกฤษ , ภาษาไทย",Teacher,English Language Teacher,140,200
พนักงานจัดเก็บภาษี,Lawyer,Tax Collector,82,542
Internship R&D (Polymer Engineer)	,Research and Development,Research and Development Engineer,128,484
แคชเชียร์ สาขามาบุญครอง,Customer Service,Cashier,37,90
Interior,Architecture/Interior,Interior Architecture,12,301
Nutritionist,Nutritionist,Nutritionist,102,381
Field Service Technician,Construction/Building Technician,Service Technician,31,512
Litigation and Enforcement,Lawyer,Enforcement Manager,82,196
เจ้าหน้าที่สิ่งแวดล้อม,Environmental Scientist,Environmental Scientist,51,202
Product Owner,Top Level Executive,Business Owner,142,78
MRCS รับสมัครงานตำแหน่ง Chief Hydrologist,Hydrologist,Hydrologist,73,283
"Government Liaison (Visa, Work Permit and License)",BOI Officer,Government Relation Specialist (BOI),17,262
ผู้ตรวจสอบคุณภาพ,Quality Assurance,Quality Control,126,468
พนักงาน,Administration,Administrator,2,8
ผู้ดูแลความสัมพันธ์ลูกค้าผู้ประกอบการ,Customer Service,Client Relationship,37,109
ช่างงานฉาบปูน,Construction/Building Technician,Plastering,31,426
Inspector,Engineering,Inspector,50,297
ชาวประมง,Fisherman,Fisherman,56,230
โฟร์แมนสนาม,Engineering,Site Foreman,50,516
เจ้าหน้าที่ขายโครงการบ้าน(ปฎิบัติงานบางกรวย จ.นนทบุรี),Sales,Sales,132,495
Organization Development Manager,HR,Organizational Development Manager,69,393
Admin for Parts,Administration,Administrator,2,8
Analytical Scientist (1 อัตรา),Scientist,Scientist,133,503
นักรังสีเทคนิค,Medical Technologist,Radio Technologist,93,471
Personal Trainer (Fitness Trainer),Fitness & Sports Trainer,Fitness & Sports Trainer,57,233
Product Manager,IT and Computer,Product Manager,74,443
TECHNICAL SALES REPRESENTATIVES - (FOOD DIVISION) (COSMETIC DIVISION),Sales,Sales,132,495
ช่างซ่อมเครื่องมือแพทย์,Medical Equipment Repair Technician,Medical Equipment Repair Technician,92,360
นักออกแบบสิ่งทอ,Fashion Designer,Textile Designer,54,555
ผู้ช่วยนิติกร,Lawyer,Lawyer,82,322
CRM Analytics (Analytical CRM & Campaign Section),Customer Service,CRM Management Manager,37,81
เทคโนโลยีหัวใจและทรวงอก,Cardiovascular Technician,Cardiovascular Technician,25,87
นักแก้ไขการได้ยิน,Medical Therapy/Rehab Services,Audiologist,94,46
มือคีย์บอร์ด,Musician,Musician,98,374
เเครชเชียร์/เสริฟ์/ครัวพาสต้า,Customer Service,Cashier,37,90
Tour Operator,Travel Agent,Travel Agent,147,569
ศัลยแพทย์ระบบประสาท หัวหน้าแผนก,Physician/Doctor,Neurosurgeon,110,378
หมอดมยา,Physician/Doctor,Anesthetist,110,27
"ครูสอน SAT, IELTS, Biology, Chemistry, Physics, Math",Teacher,Physics Teacher,140,422
แพทย์ GP (แพทย์ทั่วไป),Physician/Doctor,General Practitioner,110,256
Warehouse & Logistic Officer,Warehouse Management,Warehouse and Logistics Officer,151,587
พนักงานประจำ,Administration,Administrator,2,8
"ช่างเทคนิค,ช่างไฟฟ้า,ช่างซ่อมบำรุง,ช่างทั่วไป,ช่างล้างแอร์รถยนต์",Technician,Technician,141,550
Announcer / Call Man - ผู้ประกาศในงานประมูล,Reporter,Radio and Televison Announcer,127,472
นักพัฒน​าพื้นที่ต้​นแบบฯ,othe,other,153,596
พนักงานประจำสาขา,Warehouse Management,Store Officer,151,529
Fundraising Officer,Fundraiser,Fundraiser,65,248
Research and Development Engineer<br>วิศวกรฝ่ายวิจัย (5 ตำแหน่ง),Research and Development,Research and Development Engineer,128,484
E-Commerce Manager - Retail (80-100K),Marketing,Online Marketing Manager,88,384
Assistant Teacher in Design and Technology,Teacher,Career and Technology Teacher,140,88
Sub Board Ches ฏนแนพ,Physician/Doctor,Sub Board Chest/Critical care,110,531
Visiting Instrumental Teachers,Teacher,Western Music Teacher,140,593
Manager - Engineering,Engineering,Engineer Manager,50,199
Sales Maintenance /พนักงานขาย (บริการ/งานบำรุงรักษา),Sales,Sales Support,132,498
Automotive Designer,Engineering,Automotive Engineer,50,49
<font color=red><b>Urgently Required!!!</b></font ><br>Planning and Optimization Engineer (RF) (1 Year contract),Engineering,Radio Systems Engineer,50,470
MEDICAL TECHNOLOGY SPECIALIST,Medical Technologist,Medical Technologist,93,364
Information ,IT and Computer,System Analyst,74,537
พนักงานคลินิก (ติด BTS พระโขนง),Clinical Coordinator,Clinical Coordinator,28,110
Food Court Operation Supervisor,Restaurant Manager,Restaurant Manager,130,490
IT Auditor,IT and Computer,IT Auditor,74,286
วิศวกรน้ำ,Engineering,Irrigation Engineer,50,310
หัวหน้าแผนกพัฒนาทรัพยากรบุคคล,HR,Training and Development Manager,69,565
นักศักฝึกงานควมงานอาคาร,Building Manager,Building Manager,21,70
IMPORT EXPORT AND BOI,BOI Officer,BOI Import/ Export Officer,17,54
วิศวกรบริการ,Engineering,Service Engineer,50,510
Broadcasting,Broadcasting,Radio and Televison Broadcasting,20,473
Personal Trainer,Trainer,Personal Trainer,144,410
วิศวกรอัตโนมัต,Engineering,Automation Engineer,50,48
Flight Crew Training Manager,Air Traffic Control,Flight Operations Officer,7,235
ผู้ตรวจสอบคุณภาพขาเข้า,Import and Export,Incoming Quality Inspector,75,294
ช่างเทคนิค งานระบบบำบัดน้ำ ระบบเครื่องสูบน้ำ,Engineering,Irrigation Engineer,50,310
Lab Technician,Lab Technician,Lab Technician,80,318
Head of Promotions (95.5 Virgin HitZ),Marketing,Marketing Manager,88,343
Flight attendant,Flight Attendant,Cabin Crew,58,82
เจ้าหน้าที่ประสานงานโครงการ,Project Coordinator,Project Coordinator,121,454
Computer Engineer,Engineering,Computer and Systems Engineer,50,129
ผู้ช่วยทนายความ,Lawyer,Lawyer,82,322
GM: Government Relation,BOI Officer,Government Relation Specialist (BOI),17,262
Video Creator (Media) (80K–120K) (SDG-62415),Broadcasting,Audio/Video Broadcast & Postproduction,20,45
ผู้ประสานงานขายและบริการลูกค้า,Sales,Sales Coordinator,132,496
ผู้จัดการด้านรายงานทางการเงิน,Finance,Finance Manager,55,221
วิศวกรอาวุโส ฝ่ายบริการเทคนิค,Engineering,Technical Service,50,548
Installation and Service Engineer / Telecommunication Engineer,Engineering,Service Engineer,50,510
Project Manager,Architecture/Interior,Architect Project Manager,12,34
Digital Media Buyer,Advertising and PR,Media Buyer,5,354
SYSTEM ANALYST,IT and Computer,System Analyst,74,537
Men’s Brand Manager - Buying<br>(Robinson Department Store),Purchasing,Merchandise Manager,125,366
Senior Actuarial,Finance,Actuary,55,7
นักดาราศาสตร์ประจำ,Astronomer,Astronomer,15,42
Field Service Technician,Technician,Technician,141,550
เจ้าหน้าที่ออกแบบผลิตภัณฑ์/ออกแบบบรรจุภัณฑ์,Research and Development,Packaging Development,128,403
Graphic Designer & Photographer for Fashion,Graphic Designer,Graphic Designer,68,263
 stock consolidation,Warehouse Management,Stock Controller,151,528
